1 shoot completed :time , area , shape (0.4, 68813.44548423083, 12)
2 shoot completed :time , area , shape (0.34, 71323.5, 12)
3 shoot completed :time , area , shape (0.37, 66910.0, 4)
4 shoot completed :time , area , shape (0.34, 72891.5, 4)
5 shoot completed :time , area , shape (0.4, 60581.0, 7)
6 shoot completed :time , area , shape (0.4, 57270.0, 4)
7 shoot completed :time , area , shape (0.4, 58461.0, 11)
8 shoot completed :time , area , shape (0.37, 67048.5, 4)
9 shoot completed :time , area , shape (0.28, 86342.5, 4)
10 shoot completed :time , area , shape (0.4, 60372.5, 4)
11 shoot completed :time , area , shape (0.36, 67428.5, 4)
12 shoot completed :time , area , shape (0.4, 52842.0, 4)
